Nodes: 135,Edges: 525,
Source: 1,Sink: 232,
1,3,5
1,2,10
1,4,5
1,229,30
1,231,35
2,4,2
2,6,15
2,5,10
2,23,7
3,6,20
3,2,3
4,5,10
5,21,20
5,29,10
5,20,12
5,40,15
6,9,25
6,7,6
6,30,12
6,8,7
7,8,6
8,58,13
8,59,12
9,9,1
9,7,5
9,231,7
9,80,20
9,56,6
10,11,16
10,68,13
10,11,15
11,13,18
12,11,11
12,13,15
13,99,12
13,102,65
13,32,10
14,15,3
15,15,2
15,99,52
16,15,10
16,102,5
16,17,8
18,28,80
18,34,24
18,122,25
20,21,3
20,20,2
20,24,10
21,22,3
21,24,8
22,43,7
22,229,5
23,30,13
23,29,10
23,38,15
24,43,3
24,63,15
24,230,10
25,78,35
25,230,40
27,88,15
27,16,16
28,31,25
29,19,5
30,8,26
30,38,30
31,28,25
31,112,23
31,116,45
31,117,20
32,18,65
32,32,3
32,18,55
32,33,40
32,34,47
33,120,7
33,37,42
33,35,20
33,147,26
34,120,28
34,35,26
34,129,10
35,137,2
35,148,2
37,147,15
37,37,4
37,166,16
37,181,20
38,50,10
38,19,12
39,41,5
40,20,6
40,19,25
41,207,15
41,42,8
42,210,10
42,211,8
43,22,8
44,45,5
44,218,9
45,215,3
46,161,7
46,192,22
46,47,7
46,45,40
48,142,20
48,140,25
48,141,10
48,133,8
48,51,15
50,60,15
50,61,15
50,62,15
51,164,8
52,153,12
52,155,6
52,199,7
53,226,10
53,223,22
54,156,8
54,224,12
54,232,16
55,56,18
55,65,7
55,80,5
56,7,3
56,58,7
58,65,17
58,10,20
59,10,11
59,68,12
60,69,25
60,14,4
61,14,12
61,16,10
61,17,5
62,17,5
62,27,10
63,76,10
63,25,10
65,10,18
68,69,10
68,12,10
69,12,10
76,25,8
76,88,27
78,88,30
78,89,12
80,231,35
88,27,10
89,31,10
89,28,28
102,32,67
102,18,10
102,28,42
112,118,10
116,48,5
116,124,10
117,118,20
117,124,10
118,125,45
120,35,18
122,129,12
122,130,6
124,133,17
125,134,14
125,135,15
129,130,15
130,138,2
130,52,6
133,134,20
133,51,12
134,135,10
134,144,10
135,145,10
137,149,2
137,36,16
138,52,7
138,36,20
138,152,48
140,155,4
140,201,7
141,157,10
141,49,10
141,159,10
142,159,2
142,46,7
142,161,6
144,145,7
144,51,15
144,163,3
145,163,8
147,148,18
147,166,22
148,167,2
149,167,2
149,168,10
152,184,20
152,192,12
152,41,13
152,42,13
152,210,8
153,157,10
153,173,10
153,49,10
155,200,4
156,225,10
156,232,10
157,49,10
159,49,10
159,177,10
161,51,17
163,164,15
164,180,25
166,182,12
166,183,7
167,183,45
168,184,18
168,39,40
173,193,10
173,49,10
177,46,6
177,193,10
177,49,10
180,47,8
180,45,37
181,182,18
181,203,20
181,220,30
181,53,38
182,183,10
182,203,10
182,39,12
183,39,10
184,36,10
184,41,20
192,193,20
192,210,13
193,49,10
199,200,2
199,201,5
200,201,1
203,207,15
203,219,14
207,42,8
207,211,5
207,219,16
210,44,18
211,44,15
211,224,20
215,44,6
215,218,5
218,225,13
219,220,7
219,223,13
220,53,18
220,223,10
223,224,16
223,227,12
224,225,16
224,54,14
226,227,35
226,232,55
227,54,10
227,232,12
229,230,30
4,2,2
6,2,15
5,2,10
23,2,7
6,3,20
2,3,3
5,4,10
21,5,20
29,5,10
20,5,12
40,5,15
9,6,25
7,6,6
30,6,12
8,6,7
8,7,6
58,8,13
59,8,12
9,9,1
7,9,5
231,9,7
80,9,20
56,9,6
11,10,16
68,10,13
11,10,15
13,11,18
11,12,11
13,12,15
99,13,12
102,13,65
32,13,10
15,14,3
15,15,2
99,15,52
15,16,10
102,16,5
17,16,8
28,18,80
34,18,24
122,18,25
21,20,3
20,20,2
24,20,10
22,21,3
24,21,8
43,22,7
229,22,5
30,23,13
29,23,10
38,23,15
43,24,3
63,24,15
230,24,10
78,25,35
230,25,40
